Gantry_X,Gantry_Y,Gantry_Z,Pos_X,Pos_Y,Pos_Z
4.233267532,0,0,3.399884343,-0.523814005,2.97
7.046593822,0,0,6.213210633,-0.523814005,2.97
4.241741361,0,0,3.408358172,-0.523814005,2.97
4.032938439,0,0,3.19955525,-0.523814005,2.97
4.208624325,0,0,3.375241135,-0.523814005,2.97
6.88127064,0,0,6.04788745,-0.523814005,2.97
0.23056255,0,0,-0.60282064,-0.523814005,2.97
2.227716076,0,0,1.394332887,-0.523814005,2.97
1.316171231,0,0,0.482788042,-0.523814005,2.97
5.797797847,0,0,4.964414658,-0.523814005,2.97
4.433761858,0,0,3.600378668,-0.523814005,2.97
1.553520495,0,0,0.720137305,-0.523814005,2.97
1.205307437,0,0,0.371924248,-0.523814005,2.97
0.724335614,0,0,-0.109047575,-0.523814005,2.97
4.737227943,0,0,3.903844754,-0.523814005,2.97
4.40460238,0,0,3.571219191,-0.523814005,2.97
7.571813849,0,0,6.738430659,-0.523814005,2.97
3.515906672,0,0,2.682523483,-0.523814005,2.97
2.001671747,0,0,1.168288557,-0.523814005,2.97
3.220726696,0,0,2.387343506,-0.523814005,2.97
7.019327992,0,0,6.185944802,-0.523814005,2.97
7.046076276,0,0,6.212693086,-0.523814005,2.97
5.848198102,0,0,5.014814913,-0.523814005,2.97
2.842676833,0,0,2.009293644,-0.523814005,2.97
5.940248614,0,0,5.106865424,-0.523814005,2.97
0.176742087,0,0,-0.656641102,-0.523814005,2.97
4.735437487,0,0,3.902054298,-0.523814005,2.97
4.013393097,0,0,3.180009907,-0.523814005,2.97
3.369004023,0,0,2.535620834,-0.523814005,2.97
4.69289704,0,0,3.859513851,-0.523814005,2.97
2.423958412,0,0,1.590575223,-0.523814005,2.97
2.188194367,0,0,1.354811178,-0.523814005,2.97
4.583190784,0,0,3.749807595,-0.523814005,2.97
0.993264945,0,0,0.159881756,-0.523814005,2.97
1.093904004,0,0,0.260520815,-0.523814005,2.97
2.729162968,0,0,1.895779778,-0.523814005,2.97
5.747477676,0,0,4.914094487,-0.523814005,2.97
3.86437065,0,0,3.03098746,-0.523814005,2.97
8.145752851,0,0,7.312369662,-0.523814005,2.97
0.696813751,0,0,-0.136569439,-0.523814005,2.97
0.355136285,0,0,-0.478246905,-0.523814005,2.97
4.12508409,0,0,3.291700901,-0.523814005,2.97
0.733793484,0,0,-0.099589705,-0.523814005,2.97
2.72192496,0,0,1.888541771,-0.523814005,2.97
6.449318002,0,0,5.615934813,-0.523814005,2.97
6.532531309,0,0,5.69914812,-0.523814005,2.97
3.575023708,0,0,2.741640518,-0.523814005,2.97
4.591855799,0,0,3.75847261,-0.523814005,2.97
5.175836597,0,0,4.342453408,-0.523814005,2.97
2.953209918,0,0,2.119826729,-0.523814005,2.97
6.566100344,0,0,5.732717155,-0.523814005,2.97
2.70159512,0,0,1.868211931,-0.523814005,2.97
4.998301963,0,0,4.164918774,-0.523814005,2.97
5.220356091,0,0,4.386972901,-0.523814005,2.97
8.101428293,0,0,7.268045104,-0.523814005,2.97
2.578816582,0,0,1.745433393,-0.523814005,2.97
4.687582101,0,0,3.854198911,-0.523814005,2.97
7.237248274,0,0,6.403865085,-0.523814005,2.97
2.987701407,0,0,2.154318217,-0.523814005,2.97
0.716713792,0,0,-0.116669397,-0.523814005,2.97
4.81681233,0,0,3.983429141,-0.523814005,2.97
4.70684974,0,0,3.873466551,-0.523814005,2.97
1.670264528,0,0,0.836881338,-0.523814005,2.97
3.275112623,0,0,2.441729434,-0.523814005,2.97
0.607897957,0,0,-0.225485232,-0.523814005,2.97
7.190559681,0,0,6.357176491,-0.523814005,2.97
6.88389779,0,0,6.050514601,-0.523814005,2.97
3.509146452,0,0,2.675763262,-0.523814005,2.97
6.906507226,0,0,6.073124036,-0.523814005,2.97
8.092130351,0,0,7.258747161,-0.523814005,2.97
4.475853512,0,0,3.642470323,-0.523814005,2.97
7.716866469,0,0,6.88348328,-0.523814005,2.97
3.462840591,0,0,2.629457401,-0.523814005,2.97
6.840552271,0,0,6.007169082,-0.523814005,2.97
7.137270356,0,0,6.303887167,-0.523814005,2.97
3.588649416,0,0,2.755266227,-0.523814005,2.97
8.326012788,0,0,7.492629599,-0.523814005,2.97
6.304796766,0,0,5.471413577,-0.523814005,2.97
6.70115119,0,0,5.867768,-0.523814005,2.97
4.799270499,0,0,3.96588731,-0.523814005,2.97
1.202184341,0,0,0.368801152,-0.523814005,2.97
7.412382665,0,0,6.578999475,-0.523814005,2.97
4.638215293,0,0,3.804832104,-0.523814005,2.97
7.760854381,0,0,6.927471192,-0.523814005,2.97
5.874704358,0,0,5.041321168,-0.523814005,2.97
2.277414173,0,0,1.444030984,-0.523814005,2.97
7.851098166,0,0,7.017714977,-0.523814005,2.97
7.72201573,0,0,6.88863254,-0.523814005,2.97
4.44694714,0,0,3.613563951,-0.523814005,2.97
7.26724175,0,0,6.43385856,-0.523814005,2.97
5.017542863,0,0,4.184159674,-0.523814005,2.97
3.386780937,0,0,2.553397747,-0.523814005,2.97
1.535153734,0,0,0.701770545,-0.523814005,2.97
3.9182484,0,0,3.08486521,-0.523814005,2.97
5.755837027,0,0,4.922453838,-0.523814005,2.97
1.963438624,0,0,1.130055434,-0.523814005,2.97
4.92788863,0,0,4.09450544,-0.523814005,2.97
5.536458627,0,0,4.703075438,-0.523814005,2.97
4.818371254,0,0,3.984988065,-0.523814005,2.97
6.738206428,0,0,5.904823239,-0.523814005,2.97
1.560309622,0,0,0.726926432,-0.523814005,2.97
2.069998984,0,0,1.236615795,-0.523814005,2.97
